time	throughput_mbps	rtt_ms	loss_rate
1	30.47905848779177	11.804789868285194	0.0103211023742388
2	33.80729277457796	10.227809069860212	0.0114409633319231
3	33.4591550835435	10.28772228983189	0.0108396614241775
4	38.50110210652543	10.627299130931338	0.0108566484454392
5	36.891158772091785	11.076389998859014	0.0116236606220072
6	33.18539588840103	10.464289454188734	0.010824991392506
7	32.47127766924513	10.139211126340689	0.0100589953335432
8	31.96722916222705	10.892241050947998	0.011184227136467
9	37.1688682841798	11.690920923647418	0.0096008511013122
10	38.386301008121634	10.068987901375444	0.0108086870595596
11	34.777052756140115	11.55944528639003	0.0119422763044874
12	39.36811160366845	11.962502688976675	0.0104015862104255
13	36.78626413057695	11.941983478027172	0.0105239392695957
14	33.642814802102414	11.239317361682932	0.0101480962485122
15	31.730718020640392	11.82153793526508	0.0102442564253984
16	35.388811061014394	11.91703165222879	0.009918327383083
17	34.7432286748052	10.309810241855022	0.0107578551859449
18	38.3645231680569	10.063270625464222	0.0105700330365307
19	39.14210414527201	10.813708857160904	0.010246572814205
20	35.26837404861005	9.633052626512676	0.0101712719531265
21	30.30324431130516	11.16106160341774	0.0104611908426414
22	36.87695603234468	9.829214060357732	0.0109048209533035
23	35.4080212194274	10.818563443744427	0.0093375422562727
24	35.92835207409235	10.843467716149831	0.0119026461032362
25	36.77445438779094	9.802979616739428	0.0097491284802017
26	37.33035684113099	10.831969350596133	0.0110372670701984
27	33.55475812895912	10.83018032285536	0.0112611310792746
28	34.254195315013554	10.588729184914962	0.0098881934795303
29	36.97865412810437	11.437687486158197	0.0102700083517968
30	31.18220626231352	11.209558206257332	0.0093158256445528
31	35.12393154790842	11.000006046567275	0.0093939798156096
32	32.19533454553242	10.563681692475184	0.0100365670252751
33	32.35297389486735	10.625163219056668	0.0106253451096477
34	37.39496423096228	9.558027484450944	0.0093226076935882
35	38.73272669742504	11.76578435547852	0.0106308511096809
36	34.64678213808643	10.06681304207359	0.0099548780648945
37	36.94996811879057	10.79688046935673	0.0103603575186157
38	31.14340807100493	10.812426895329631	0.0112775829702021
39	35.52616725699737	9.97362211367224	0.0096287195300964
40	34.71166646470443	10.773540351904604	0.0110745081197213
41	38.06679442659816	10.842736592620737	0.0095634142617289
42	30.075519374763005	10.811248259617702	0.0106724758854336
43	30.636658128293064	11.838799107193951	0.0109456660157488
44	31.30925560174929	10.688270651545311	0.0093693930895931
45	33.54786930365011	10.251598194832985	0.0109401574044812
46	31.720814234362884	9.991083769350478	0.0095945885017466
47	35.925311822808666	10.061261279852223	0.0115083903266027
48	35.45931066193786	10.205918992732412	0.0093605612698746
49	33.0603840914083	9.501302110062406	0.0105576088778403
50	31.469598938113908	11.481973229304463	0.0109488922835578
51	31.94803017844669	10.201738598679464	0.0110054854958925
52	30.40940832704136	9.72822096867893	0.0112884974835965
53	31.25765754980068	10.161736387839822	0.0117709663208617
54	35.62947581518682	11.658262470833574	0.009675386152736
55	39.416207660785496	10.178241213172626	0.0113246830414561
56	36.74077583920231	11.421789533694453	0.0113022161792169
57	35.380403938255924	11.297716716972133	0.0104416870709666
58	32.73114001333264	11.988531750159115	0.0102508631939097
59	35.4267729373891	11.582438636608089	0.0102856795099318
60	31.726388931423703	9.82313816783539	0.0113576595118446
